,team,date,elo
0,Liverpool,2020-01-01,2075.85131836
1,Man City,2020-01-01,2001.57202148
2,Chelsea,2020-01-01,1855.0423584
3,Spurs,2020-01-01,1840.8659668
4,Leicester,2020-01-01,1830.19836426
5,Man Utd,2020-01-01,1826.82861328
6,Arsenal,2020-01-01,1796.1661377
7,Wolves,2020-01-01,1774.71240234
8,Crystal Palace,2020-01-01,1744.37133789
9,Everton,2020-01-01,1744.27368164
10,Newcastle,2020-01-01,1708.01550293
11,West Ham,2020-01-01,1691.03125
12,Sheffield Utd,2020-01-01,1689.63024902
13,Burnley,2020-01-01,1683.97790527
14,Bournemouth,2020-01-01,1679.67944336
15,Southampton,2020-01-01,1674.34790039
16,Watford,2020-01-01,1662.98144531
17,Brighton,2020-01-01,1659.32214355
18,West Brom,2020-01-01,1632.0123291
19,Aston Villa,2020-01-01,1615.33764648
20,Leeds,2020-01-01,1610.00744629
21,Norwich,2020-01-01,1600.27038574
22,Cardiff,2020-01-01,1582.12023926
23,Fulham,2020-01-01,1574.81054688
24,Brentford,2020-01-01,1572.1550293
25,Sheffield Weds,2020-01-01,1555.11999512
26,Nott'm Forest,2020-01-01,1534.47558594
27,Swansea,2020-01-01,1526.72106934
28,Bristol City,2020-01-01,1523.52685547
29,Preston,2020-01-01,1520.73352051
30,Hull,2020-01-01,1517.3951416
31,Middlesbrough,2020-01-01,1515.22900391
32,Millwall,2020-01-01,1499.89050293
33,Derby,2020-01-01,1499.59887695
34,Reading,2020-01-01,1493.09313965
35,Blackburn,2020-01-01,1492.45336914
36,Huddersfield,2020-01-01,1484.30505371
37,Birmingham,2020-01-01,1461.23461914
38,Stoke,2020-01-01,1456.55322266
39,QPR,2020-01-01,1440.03601074
40,Charlton,2020-01-01,1430.3223877
41,Barnsley,2020-01-01,1412.60009766
42,Wigan,2020-01-01,1411.16516113
43,Luton,2020-01-01,1384.36169434
44,Liverpool,2020-01-02,2075.85131836
45,Man City,2020-01-02,2003.45373535
46,Chelsea,2020-01-02,1851.26318359
47,Leicester,2020-01-02,1841.3951416
48,Spurs,2020-01-02,1830.16821289
49,Man Utd,2020-01-02,1816.56176758
50,Arsenal,2020-01-02,1806.4329834
51,Wolves,2020-01-02,1765.18786621
52,Everton,2020-01-02,1742.39196777
53,Crystal Palace,2020-01-02,1741.9309082
54,West Ham,2020-01-02,1703.38427734
55,Newcastle,2020-01-02,1696.81872559
56,Sheffield Utd,2020-01-02,1689.63024902
57,Southampton,2020-01-02,1685.04577637
58,Burnley,2020-01-02,1672.70043945
59,Watford,2020-01-02,1672.50598145
60,Bournemouth,2020-01-02,1667.32641602
61,Brighton,2020-01-02,1663.10144043
62,West Brom,2020-01-02,1629.76123047
63,Aston Villa,2020-01-02,1626.61523438
64,Leeds,2020-01-02,1612.25854492
65,Norwich,2020-01-02,1602.71081543
66,Brentford,2020-01-02,1588.57299805
67,Fulham,2020-01-02,1563.22302246
68,Cardiff,2020-01-02,1559.41918945
69,Sheffield Weds,2020-01-02,1544.70202637
70,Nott'm Forest,2020-01-02,1540.06188965
71,Middlesbrough,2020-01-02,1528.98449707
72,Hull,2020-01-02,1527.81311035
73,Swansea,2020-01-02,1526.72106934
74,Bristol City,2020-01-02,1507.10876465
